OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
24252,2016,NonResidential,Medical Office,Springbrook Building,NORTHEAST,1984,1.0,4,45264,17622,27642,Medical Office,4.0,1849331.25,0.0,1849331.0,0.0,12.89,0.28
24270,2016,NonResidential,Worship Facility,Phinney Ridge Lutheran Church,NORTHWEST,1951,0.0,2,41600,0,41600,Worship Facility,58.0,1376059.25,0.0,704075.0,491090.0,30.99,0.74
24274,2016,NonResidential,Small- and Mid-Sized Office,Bonneville International,LAKE UNION,1960,1.0,2,34110,0,34110,Office,31.0,2592728.0,0.0,2563985.0,0.0,17.87,0.52
24333,2016,NonResidential,Warehouse,South Seattle Building,GREATER DUWAMISH,1970,1.0,1,43390,0,43390,Non-Refrigerated Warehouse,87.0,533742.8125,0.0,533743.0,0.0,3.72,0.09
24344,2016,NonResidential,Warehouse,WES 2233 LLC,GREATER DUWAMISH,1959,1.0,1,35400,0,35400,Non-Refrigerated Warehouse,84.0,419978.6875,0.0,282006.0,137973.0,9.29,0.26
24348,2016,NonResidential,Distribution Center,Stoneway,GREATER DUWAMISH,1966,1.0,1,28144,0,28144,Distribution Center,19.0,870127.125,0.0,810350.0,48351.0,8.22,0.29
24351,2016,NonResidential,Warehouse,Pacific Coast Feather Corporate Office and Warehouse,GREATER DUWAMISH,1916,1.0,3,71283,0,71283,Non-Refrigerated Warehouse,41.0,2654698.5,0.0,1931964.0,559274.0,43.17,0.61
24356,2016,NonResidential,Small- and Mid-Sized Office,1550 4th Ave S,GREATER DUWAMISH,1979,1.0,2,47368,0,47368,Office,99.0,1033962.125,0.0,1042653.0,0.0,7.27,0.15
24359,2016,NonResidential,Small- and Mid-Sized Office,Jefferson Building,CENTRAL,1984,1.0,5,72613,22788,49825,Office,84.0,2756929.5,0.0,2086017.0,516197.0,41.96,0.58
24374,2016,NonResidential,Retail Store,Jumbo chinese restaurant,SOUTHEAST,1968,1.0,1,36071,0,36071,Retail Store,97.0,1519952.125,0.0,649355.0,870597.0,50.76,1.41
24376,2016,NonResidential,Medical Office,SE Seattle Community Health Center,SOUTHEAST,1990,1.0,2,38352,11082,27270,Medical Office,36.0,2108861.75,0.0,2108861.0,0.0,14.7,0.38
24435,2016,NonResidential,Small- and Mid-Sized Office,10th Ave.,EAST,1907,1.0,2,36000,0,36000,Office,95.0,1085871.625,0.0,813255.0,232933.0,18.04,0.5
